Name,Hook Type,Instagram URL,Random Hook Generator Number,Schedule Date,Used??
There are # things I like to do when I buy a new (insert noun).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DGMg-VPtL98/,744,,No
Here’s how the form of (insert noun) you add into (insert noun) affects them.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DD-sH_PPLJ4/,973,,No
We pretty much (insert action) our entire (insert noun) into (insert noun).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DC-CO9QTF3R/,640,,No
You only have to be dialed in on # of things to be an elite (insert title).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/kelseypoulter/reel/DAK0EOTRweE/,230,,No
Hey everyone I am (insert name) I am (insert age) and I am starting a (insert business) from scratch.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DDEBm2jOYMG/,632,,No
X days/months/years I (insert life event) and decided to quit (insert bad habit),STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEd9AFGydqg/,144,,No
"I do not believe in (insert common belief), I believe in (insert your belief).",RANDOM INSPO HOOK,https://www.instagram.com/reel/DFAu11XxvX-/,353,,No
I literally used to have a (insert before state).,AUTHORITY INSPO HOOK,https://www.instagram.com/share/_grFmUWDX,505,,No
How to dress like a (insert person).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DCRJoGbo3oa/,210,,No
If you gave me (insert time frame) to get a job as a (insert title) this is what I would do.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DHAewSpJVWu/,235,,No
This is a picture of my (insert what picture is of),STORYTELLING INSPO HOOK,https://www.instagram.com/reel/C_njKwBOuLi/,65,,No
Both these (insert noun) are exactly the same. I have not changed a single (insert noun). But this one is (insert metic) and this one is (insert metric).,COMPARISON INSPO HOOK,https://www.instagram.com/p/DB67qDIih-2/,426,,No
I worked (insert hours) in just (insert days) making all of this (insert noun) for my (insert noun).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DGMTIk2s5Bq/,770,,No
I (insert action) almost everyday for a week and here is what happened.,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DCAJiSMPRyj/,29,,No
"The reason your (insert noun) sucks, is because you have no freaking (insert adjective).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DIwiSA7zyyd/,620,,No
How to start your (insert noun) from scratch.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DG1VtMUSQ9h/,795,,No
"Okay (insert pain point), how about we don't f up (insert current year)",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DDiWd5eSlPC/,648,,No
As an (insert trait) responsible (insert age) year old with a goal to (insert goal) here are 3 things I will never regret doing.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DBZT2Q5RJ2W/,275,,No
Person #1: What aren't my (insert noun) (insert adjective)? Person #2: It’s because your (insert common mistake),EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DCUaqmTzGkG/,577,,No
After (insert dream result) here is one thing I learned the hard way so you don't have to.,AUTHORITY INSPO HOOK,https://www.instagram.com/p/DFdP6ttxN-a/,625,,No
Hi my name is (insert name) and this was me (insert time frame) ago a (insert label) in (insert noun).,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DIO1bNruotJ/,507,,No
(insert name) what is your (insert title) trigger?,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DHyUjujMh6O/,714,,No
Over the last (insert time) I have been finding a lot of cool things over (insert location). And today I am finally finishing my (insert project).,STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DDc9OJlvOMl/,531,,No
Here’s exactly how much (insert action/item) you need to (insert result),EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C9vqgHxuz1E/,543,,No
"# lessons, # of (insert person/persons), in # of days/weeks/months.",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DH64SMas1b1/,46,,No
"When I (insert action), people said (insert feedback)",STORYTELLING INSPO HOOK,https://www.instagram.com/reel/DEj-ntbyxb_/,991,,No
X years it took me from (insert bad situation/result) to (insert good situation/result),STORYTELLING INSPO HOOK,https://www.instagram.com/p/C8Cpii4PB1u/,811,,No
"If you don’t have (insert item/action), do (insert item/action).",EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/C8rJipAy8I8/,811,,No
Here is how I make (insert noun) that lasts up to (insert time frame) and only costs (insert $).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DG_4uqYOrJ_/,948,,No
Everyone tells you to do (insert action) but you think it’s too late because you are (Insert age). I am a (insert occupation) and these are # of things you need to know in your (Insert age).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/calltoleap/reel/C4wQD6DPqTe/,473,,No
If you wear a (insert noun) or (insert noun) with (insert noun) and a different (insert trait) (insert noun) then you have (insert result).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DG1XhISy7_f/,864,,No
I spent (insert #) whole years with (insert condition) so you don’t have too.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/C8fU6cyP3Hc/,910,,No
How long does it take to catch (insert high number) of (insert noun)?,STORYTELLING INSPO HOOK,https://www.instagram.com/p/DIIU8EuRq_H/,797,,No
This (insert noun) has something in it called (insert name). (insert verb) enough of these and they will kill you.,EDUCATIONAL INSPO HOOK,https://www.instagram.com/reel/DI6uLtcJhqi/,102,,No
This is what (insert noun) looks like. I am a pro (insert title) and this is the proper way to (insert action).,EDUCATIONAL INSPO HOOK,https://www.instagram.com/p/DEnW3Mmvswc/,327,,No
